conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,Sentiment
1916860851631579615,2025-04-28 19:33:08+00:00,0,@ahgilagila Sudah direspon ya Kak DM-nya -Nabil,1916938754956398861,,ahgilagila,in,,0,0,0,https://x.com/undefined/status/1916938754956398861,1075673058931806208,,Netral
1916868164811477259,2025-04-28 19:33:50+00:00,0,@girez Halo Kak Girez. Maaf ya salah satu penyebab koneksi tidak stabil adalah banyak device terhubung. Kami bantu tindak lanjuti yuk infoin nomor IndiHome dan atas nama ke DM makasih. -Nabil,1916938929233924201,,girez,in,,0,0,0,https://x.com/undefined/status/1916938929233924201,1075673058931806208,,Netral
1916863134696112606,2025-04-28 19:35:08+00:00,0,@ahgilagila Aman Kak. DM sudah direspon -Nabil,1916939257723445285,,ahgilagila,in,,0,0,0,https://x.com/undefined/status/1916939257723445285,1075673058931806208,,Netral
1916868938073555275,2025-04-28 19:35:38+00:00,0,@Asaladajalan Halo Kak. Maaf ya salah satu penyebab koneksi tidak stabil adalah banyak device terhubung. Kami bantu tindak lanjuti yuk infoin nomor IndiHome dan atas nama ke DM makasih. -Nabil,1916939383808397553,,Asaladajalan,in,,0,0,0,https://x.com/undefined/status/1916939383808397553,1075673058931806208,,Netral
1916860888562500070,2025-04-28 19:36:05+00:00,0,@ahgilagila Sudah ya Kak -Nabil,1916939494638686580,,ahgilagila,in,,0,0,0,https://x.com/undefined/status/1916939494638686580,1075673058931806208,,Netral
1916852363639570789,2025-04-28 19:36:39+00:00,0,@tyoarva @ilhamdhar Aman Kak Arva sudah dibantu ya. -Nabil,1916939636662014353,,tyoarva,in,,0,0,0,https://x.com/undefined/status/1916939636662014353,1075673058931806208,,Netral
1916860919407055130,2025-04-28 19:38:06+00:00,0,@ahgilagila Lanjut interaksinya di DM ya Kak sudah dibalas DM-nya -Nabil,1916940002329825604,,ahgilagila,in,,0,0,0,https://x.com/undefined/status/1916940002329825604,1075673058931806208,,Netral
1916851244792185153,2025-04-28 19:39:42+00:00,0,@Agusf1 @ahgilagila Satset Kak Agus DM udah direspon -Nabil,1916940407839330612,,Agusf1,in,,0,0,0,https://x.com/undefined/status/1916940407839330612,1075673058931806208,,Netral
1916849172365348967,2025-04-29 00:11:02+00:00,0,@rchltXPSInfoNws @IndiHome Dapet banget keselnya...,1917008688415670325,,rchltXPSInfoNws,in,,0,0,0,https://x.com/undefined/status/1917008688415670325,1131159657743937536,,Negatif
1917007782638981231,2025-04-29 00:11:08+00:00,0,@1an_Supriyanto @IndiHome @YLKI_ID @kemkomdigi @1an_Supriyanto Maaf Kak Ian atas kejadian yang dialami saat ini laporannya sedang dalam penanganan oleh tim kami dan diusahakan segera mungkin terselesaikan sampai tuntas. -Virgi,1917008714923708628,,1an_Supriyanto,in,,0,1,0,https://x.com/undefined/status/1917008714923708628,255409050,,Netral
