conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,Sentiment
1899112929905291332,2025-03-10 15:04:40+00:00,0,@dewabint4ng @dewabint4ng Mohon maaf ya Kak Binbin atas ketidaknyamanan yang dialami. Perihal kendala jaringan IndiHome gak stabil coba infoin dulu yuk ke DM nomor IndiHome sama atas nama biar dibantu cek serta privasi data tetap terjaga. Makasih :) -Zyad,1899114185755431164,,dewabint4ng,in,,0,0,0,https://x.com/undefined/status/1899114185755431164,765035200896118789,,Netral
1899100642129399923,2025-03-10 15:06:58+00:00,0,@TheEagle_BEN Aku pake mata batinnya @JaenoXTM dia kan anak Indihome,1899114766150607147,,TheEagle_BEN,in,,0,1,0,https://x.com/undefined/status/1899114766150607147,1282751327588585473,,Netral
1899111801914081497,2025-03-10 15:07:32+00:00,0,@tanyarlfes Udah perna pake 2 provider berbeda. Firstmedia &amp; Indihome ga mengecewakan. Semoga membantu,1899114907012075886,,tanyarlfes,in,,0,1,0,https://x.com/undefined/status/1899114907012075886,1579816921633284097,,Netral
1899102875760169343,2025-03-10 15:08:53+00:00,0,@sellvier @sypiespace IndiHome Kakak dirumah aman kan? . -Maul,1899115249246318726,,sellvier,in,,0,1,0,https://x.com/undefined/status/1899115249246318726,765035200896118789,,Netral
1899100982853902833,2025-03-10 15:09:11+00:00,1,@lvlychanie @lvlychanie Hihi kalau ada yang mau ditanyain soal produk IndiHome lainnya jangan sungkan konfirmasi ke DM ya Kak Han. -Beeru,1899115323942633615,,lvlychanie,in,,0,0,0,https://x.com/undefined/status/1899115323942633615,765035200896118789,,Netral
1899115389881336013,2025-03-10 15:09:27+00:00,0,@IndiHomeCare gangguan mulu tlong dong ada yg recomen wifi selain indihome capek bgt mana 1 harian.,1899115389881336013,,IndiHomeCare,in,,0,2,0,https://x.com/undefined/status/1899115389881336013,320150129,,Negatif
1899107192198054328,2025-03-10 15:10:28+00:00,0,@giumyy Sama aku jggg. Berarti dimana2 indihome bapuk,1899115645641658466,,giumyy,in,,0,1,0,https://x.com/undefined/status/1899115645641658466,1893853775275905024,,Negatif
1899103729049285106,2025-03-10 15:12:33+00:00,1,@pacarafayel @pacarafayel Okeeeey Kak Rubi. Kalau ada yang mau ditanyain soal produk IndiHome lainnya Kakak bisa konfirmasi ke DM yaap -Beeru,1899116171431166113,,pacarafayel,in,,0,1,0,https://x.com/undefined/status/1899116171431166113,765035200896118789,,Netral
1899083335592456297,2025-03-10 15:13:37+00:00,0,@Telkomsel Ak suka indihome,1899116438637752444,,Telkomsel,in,,0,1,0,https://x.com/undefined/status/1899116438637752444,1856313952189505536,,Netral
1899116483856482600,2025-03-10 15:13:48+00:00,0,Indihome kemaren mutus tv kabel kok ternyata selisih tagihannya gak terlalu signifikan ya jadi menyesal ,1899116483856482600,,,in,,0,1,0,https://x.com/undefined/status/1899116483856482600,1165157303718273025,,Negatif
1899067425280385081,2025-03-10 15:14:28+00:00,0,@jsidedish @IndiHome @jsidedish Oke Kak sambung lewat DM ya interaksinya -Darlan,1899116654434586992,,jsidedish,in,,0,0,0,https://x.com/undefined/status/1899116654434586992,765035200896118789,,Netral
1899117511519703263,2025-03-10 15:17:53+00:00,0,Indihome knp ye anyinkkkk,1899117511519703263,,,in,,0,1,0,https://x.com/undefined/status/1899117511519703263,3267723134,,Netral
1899115389881336013,2025-03-10 15:18:39+00:00,0,@dellaamc Malam Kak @dellaamc. Mohon maaf errornya kayak gimana nih? Yuk infoin nomor IndiHome dan atas nama ke DM biar dibantuin ya :) -Zidane,1899117707100139557,,dellaamc,in,,0,0,0,https://x.com/undefined/status/1899117707100139557,765035200896118789,,Netral
1899117729027621137,2025-03-10 15:18:45+00:00,0,anying lah ga indihome ga tsel sama2 jelek,1899117729027621137,,,in,,0,2,1,https://x.com/undefined/status/1899117729027621137,1699234181795192832,,Negatif
1899117923362611647,2025-03-10 15:19:31+00:00,0,Indihome bgst nge lag bgt,1899117923362611647,,,in,,0,1,0,https://x.com/undefined/status/1899117923362611647,1356470700035371008,,Negatif
1898407789384679784,2025-03-10 15:20:16+00:00,0,@cearmend Wkwkwkw kebaca indihome Sempet mikir knpa indihome dimakan deh ,1899118112697721293,,cearmend,in,,0,0,0,https://x.com/undefined/status/1899118112697721293,1224356592629338112,,Netral
